utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,14,0.0,49359,66931370229885,17,28.9,-373.34442138671875,0.2483000010251999,16,0.0,0.0,1.59806246E9,,,,0,,3,-0.47,25.9,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,2,0.0,81935,142549352926223,17,28.0,509.7933044433594,0.05130000412464142,16,0.0,0.0,1.57542003E9,,,,0,,1,3.83,24.5,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,5,0.0,81935,142549365594851,27,24.3,-242.8052215576172,0.6739999651908875,16,0.0,0.0,1.57542003E9,,,,0,,1,3.83,20.8,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,7,0.0,81935,142549362280127,27,24.9,440.615478515625,0.6195000410079956,16,0.0,0.0,1.57542003E9,,,,0,,1,3.83,21.4,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,9,0.0,81935,142549354695703,11,33.3,594.962158203125,0.04390000179409981,16,0.0,0.0,1.57542003E9,,,,0,,1,3.83,29.799999999999997,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,13,0.0,81935,142549363179383,19,27.6,-450.9326171875,0.04580000042915344,16,0.0,0.0,1.57542003E9,,,,0,,1,3.83,24.1,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,14,0.0,81935,142549360487873,10,34.5,-563.1895141601562,0.022099999710917473,16,0.0,0.0,1.57542003E9,,,,0,,1,3.83,31.0,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,20,0.0,81935,142549367455537,27,24.4,197.10618591308594,0.6769999861717224,16,0.0,0.0,1.57542003E9,,,,0,,1,3.83,20.9,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,30,0.0,81935,142549367167750,40,21.1,113.62435913085938,0.8569999933242798,16,0.0,0.0,1.57542003E9,,,,0,,1,3.83,17.6,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,5,0.0,16399,142535302975761,13,31.8,15.65121841430664,5.957299709320068,16,0.0,0.0,1.56109798E9,,,,0,,5,4.79,25.8,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,7,0.0,16399,142535304073304,78,17.7,4.503326416015625,2.4225001335144043,16,0.0,0.0,1.56109798E9,,,,0,,5,4.79,11.7,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,10,0.0,16399,142535305574398,46,20.2,-80.25330352783203,0.7339999675750732,16,0.0,0.0,1.56109798E9,,,,0,,5,4.79,14.2,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,19,0.0,16399,142535364450749,61,18.4,-97.46003723144531,0.8524999618530273,16,0.0,0.0,1.56109798E9,,,,0,,5,4.79,12.399999999999999,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,20,0.0,16399,142535358037969,12,32.2,444.0238952636719,0.05090000107884407,16,0.0,0.0,1.56109798E9,,,,0,,5,4.79,26.200000000000003,,,,,,
1633966531435,234629915000000,18,,-1317767119520670979,0.12603187561035156,58.76169234397821,3.3960535089340746,21.650376739710474,158,7,0.0,89103,142549355619996,53,19.5,204.52764892578125,0.8089999556541443,16,0.0,0.0,1.57542003E9,,,,0,,6,3.91,13.5,,,,,,
