# Length(Bytes) Avg(Mbps) Min(Mbps) Max(Mbps) StdDev
16 4.36 4.36 4.36 0.00
26 1.60 1.60 1.60 0.00
36 1.71 1.71 1.71 0.00
46 11.60 11.60 11.60 0.00
56 15.90 15.90 15.90 0.00
66 18.50 18.50 18.50 0.00
76 21.60 21.60 21.60 0.00
86 21.90 21.90 21.90 0.00
96 4.90 4.90 4.90 0.00
106 31.00 31.00 31.00 0.00
116 34.00 34.00 34.00 0.00
126 38.40 38.40 38.40 0.00
136 38.60 38.60 38.60 0.00
146 42.90 42.90 42.90 0.00
156 13.50 13.50 13.50 0.00
166 9.25 9.25 9.25 0.00
176 49.50 49.50 49.50 0.00
186 56.20 56.20 56.20 0.00
196 62.40 62.40 62.40 0.00
206 64.50 64.50 64.50 0.00
216 67.60 67.60 67.60 0.00
226 14.70 14.70 14.70 0.00
236 61.30 61.30 61.30 0.00
246 77.90 77.90 77.90 0.00
256 78.80 78.80 78.80 0.00
266 79.70 79.70 79.70 0.00
276 80.10 80.10 80.10 0.00
286 39.20 39.20 39.20 0.00
296 3.18 3.18 3.18 0.00
306 81.50 81.50 81.50 0.00
316 72.60 72.60 72.60 0.00
326 82.80 82.80 82.80 0.00
336 83.20 83.20 83.20 0.00
346 83.70 83.70 83.70 0.00
356 21.20 21.20 21.20 0.00
366 68.30 68.30 68.30 0.00
376 78.80 78.80 78.80 0.00
386 85.00 85.00 85.00 0.00
396 84.80 84.80 84.80 0.00
406 85.20 85.20 85.20 0.00
416 21.30 21.30 21.30 0.00
426 29.90 29.90 29.90 0.00
436 86.40 86.40 86.40 0.00
446 86.80 86.80 86.80 0.00
456 84.20 84.20 84.20 0.00
466 85.50 85.50 85.50 0.00
476 77.40 77.40 77.40 0.00
486 30.40 30.40 30.40 0.00
496 87.90 87.90 87.90 0.00
506 88.20 88.20 88.20 0.00
516 88.30 88.30 88.30 0.00
526 88.40 88.40 88.40 0.00
536 88.70 88.70 88.70 0.00
546 48.30 48.30 48.30 0.00
556 4.92 4.92 4.92 0.00
566 89.30 89.30 89.30 0.00
576 89.10 89.10 89.10 0.00
586 89.60 89.60 89.60 0.00
596 89.70 89.70 89.70 0.00
606 89.80 89.80 89.80 0.00
616 7.40 7.40 7.40 0.00
626 90.20 90.20 90.20 0.00
636 90.20 90.20 90.20 0.00
646 90.40 90.40 90.40 0.00
656 86.10 86.10 86.10 0.00
666 90.70 90.70 90.70 0.00
676 37.80 37.80 37.80 0.00
686 19.30 19.30 19.30 0.00
696 91.10 91.10 91.10 0.00
706 91.10 91.10 91.10 0.00
716 91.20 91.20 91.20 0.00
726 91.20 91.20 91.20 0.00
736 41.70 41.70 41.70 0.00
746 19.90 19.90 19.90 0.00
756 91.70 91.70 91.70 0.00
766 91.70 91.70 91.70 0.00
776 91.70 91.70 91.70 0.00
786 92.00 92.00 92.00 0.00
796 57.50 57.50 57.50 0.00
806 21.20 21.20 21.20 0.00
816 92.20 92.20 92.20 0.00
826 92.30 92.30 92.30 0.00
836 92.30 92.30 92.30 0.00
846 92.50 92.50 92.50 0.00
856 92.50 92.50 92.50 0.00
866 38.50 38.50 38.50 0.00
876 92.70 92.70 92.70 0.00
886 92.70 92.70 92.70 0.00
896 92.80 92.80 92.80 0.00
906 92.80 92.80 92.80 0.00
916 93.00 93.00 93.00 0.00
926 21.50 21.50 21.50 0.00
936 70.90 70.90 70.90 0.00
946 93.10 93.10 93.10 0.00
956 93.30 93.30 93.30 0.00
966 93.30 93.30 93.30 0.00
976 93.40 93.40 93.40 0.00
986 63.40 63.40 63.40 0.00
996 55.10 55.10 55.10 0.00
1006 92.70 92.70 92.70 0.00
1016 93.60 93.60 93.60 0.00
1026 93.60 93.60 93.60 0.00
1036 93.70 93.70 93.70 0.00
1046 93.80 93.80 93.80 0.00
1056 34.50 34.50 34.50 0.00
1066 82.20 82.20 82.20 0.00
1076 92.80 92.80 92.80 0.00
1086 94.00 94.00 94.00 0.00
1096 94.00 94.00 94.00 0.00
1106 94.10 94.10 94.10 0.00
1116 52.80 52.80 52.80 0.00
1126 29.00 29.00 29.00 0.00
1136 94.20 94.20 94.20 0.00
1146 91.30 91.30 91.30 0.00
1156 94.30 94.30 94.30 0.00
1166 94.30 94.30 94.30 0.00
1176 94.40 94.40 94.40 0.00
1186 22.30 22.30 22.30 0.00
1196 85.80 85.80 85.80 0.00
1206 94.50 94.50 94.50 0.00
1216 94.50 94.50 94.50 0.00
1226 94.60 94.60 94.60 0.00
1236 94.60 94.60 94.60 0.00
1246 46.60 46.60 46.60 0.00
1256 44.10 44.10 44.10 0.00
1266 94.80 94.80 94.80 0.00
1276 94.80 94.80 94.80 0.00
1286 94.80 94.80 94.80 0.00
1296 94.90 94.90 94.90 0.00
1306 84.10 84.10 84.10 0.00
1316 29.60 29.60 29.60 0.00
1326 95.00 95.00 95.00 0.00
1336 95.00 95.00 95.00 0.00
1346 95.00 95.00 95.00 0.00
1356 95.10 95.10 95.10 0.00
1366 40.30 40.30 40.30 0.00
1376 36.90 36.90 36.90 0.00
1386 95.10 95.10 95.10 0.00
1396 95.20 95.20 95.20 0.00
1406 95.20 95.20 95.20 0.00
1416 39.00 39.00 39.00 0.00
1426 10.10 10.10 10.10 0.00
1436 95.20 95.20 95.20 0.00
1446 95.00 95.00 95.00 0.00
1456 95.40 95.40 95.40 0.00
1466 95.40 95.40 95.40 0.00
