"No.","Time","Source","Destination","Protocol","Length","Source BD_ADDR","BD_ADDR","Data","Info"
"181","1.528000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242014aab731000435c4d2e5cb681f16bb13084560d0c502","Rcvd LE Meta (LE Extended Advertising Report)"
"189","1.540000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242014aab731000435c4d2e5cb681f16bb13084560d0c502","Rcvd LE Meta (LE Extended Advertising Report)"
"232","1.809000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100040ae19348f062bdf47639b4972aecc940","Rcvd LE Meta (LE Extended Advertising Report)"
"233","1.812000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000458efa451a62dc890cf68312a1fbaaf4b","Rcvd LE Meta (LE Extended Advertising Report)"
"376","2.107000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004c37f2722cda272ee3c8dc19c0fc68001","Rcvd LE Meta (LE Extended Advertising Report)"
"385","2.133000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100040782eea8e0e9b56031a96b3ce316b3e4","Rcvd LE Meta (LE Extended Advertising Report)"
"637","3.059000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"663","3.311000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"671","3.334000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"677","3.356000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"696","3.629000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"730","4.200000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"735","4.208000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004979a88fd0be07979d481f264af2a7367","Rcvd LE Meta (LE Extended Advertising Report)"
"746","4.494000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"755","4.517000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004979a88fd0be07979d481f264af2a7367","Rcvd LE Meta (LE Extended Advertising Report)"
"758","4.520000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"767","4.799000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004979a88fd0be07979d481f264af2a7367","Rcvd LE Meta (LE Extended Advertising Report)"
"781","4.828000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004979a88fd0be07979d481f264af2a7367","Rcvd LE Meta (LE Extended Advertising Report)"
"785","4.833000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"798","5.106000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004979a88fd0be07979d481f264af2a7367","Rcvd LE Meta (LE Extended Advertising Report)"
"805","5.123000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"811","5.395000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"843","5.719000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"848","5.753000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004979a88fd0be07979d481f264af2a7367","Rcvd LE Meta (LE Extended Advertising Report)"
"859","6.001000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004979a88fd0be07979d481f264af2a7367","Rcvd LE Meta (LE Extended Advertising Report)"
"885","6.299000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004979a88fd0be07979d481f264af2a7367","Rcvd LE Meta (LE Extended Advertising Report)"
"888","6.311000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"898","6.334000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"912","6.357000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab731000485a0b211f6a8693d81e000bee43f7016","Rcvd LE Meta (LE Extended Advertising Report)"
"927","6.626000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"937","6.894000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004fe98ab482b186418b359e6677a84c74e","Rcvd LE Meta (LE Extended Advertising Report)"
"958","6.958000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"967","7.208000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"974","7.229000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004fe98ab482b186418b359e6677a84c74e","Rcvd LE Meta (LE Extended Advertising Report)"
"991","7.512000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"1001","7.793000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"1039","8.127000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"1058","8.399000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"1062","8.409000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004fe98ab482b186418b359e6677a84c74e","Rcvd LE Meta (LE Extended Advertising Report)"
"1108","8.997000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004fe98ab482b186418b359e6677a84c74e","Rcvd LE Meta (LE Extended Advertising Report)"
"1119","9.053000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"1130","9.307000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004fe98ab482b186418b359e6677a84c74e","Rcvd LE Meta (LE Extended Advertising Report)"
"1141","9.323000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"1142","9.328000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004fe98ab482b186418b359e6677a84c74e","Rcvd LE Meta (LE Extended Advertising Report)"
"1147","9.353000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004fe98ab482b186418b359e6677a84c74e","Rcvd LE Meta (LE Extended Advertising Report)"
"1167","9.630000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004fe98ab482b186418b359e6677a84c74e","Rcvd LE Meta (LE Extended Advertising Report)"
"1175","9.658000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab7310004fe98ab482b186418b359e6677a84c74e","Rcvd LE Meta (LE Extended Advertising Report)"
"1176","9.660000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"1189","9.916000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab71100045e465ac6f0d4885847753b2de4b0ab2c","Rcvd LE Meta (LE Extended Advertising Report)"
"1229","10.531000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242015aab73100047d2df72bd5a172236fc124541e7bea2d","Rcvd LE Meta (LE Extended Advertising Report)"
"1253","10.831000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004323c2ca368d6750faa7737ac5e2ea047","Rcvd LE Meta (LE Extended Advertising Report)"
"1319","11.757000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004323c2ca368d6750faa7737ac5e2ea047","Rcvd LE Meta (LE Extended Advertising Report)"
"1359","12.311000","controller","host","HCI_EVT","59","","Apple_e5:84:66","071901242075aab7110004323c2ca368d6750faa7737ac5e2ea047","Rcvd LE Meta (LE Extended Advertising Report)"
